Date,Forecasted_Churn_%
2026-06-01,1.16
2026-07-01,1.14
2026-08-01,1.12
2026-09-01,1.1
2026-10-01,1.07
2026-11-01,1.05
2026-12-01,1.03
2027-01-01,0.73
2027-02-01,0.71
2027-03-01,0.69
2027-04-01,0.66
2027-05-01,0.64
