Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
629219,107077.0,0,48.09,Medium Risk (Zone 3/4)
609739,108007.6,0,48.09,Medium Risk (Zone 3/4)
616232,109218.03,0,48.09,Medium Risk (Zone 3/4)
622147,112011.0,0,48.08,Medium Risk (Zone 3/4)
610090,115549.51,0,48.08,Medium Risk (Zone 3/4)
619643,103811.0,0,48.08,Medium Risk (Zone 3/4)
613665,112942.43,0,48.08,Medium Risk (Zone 3/4)
639312,111732.0,0,48.08,Medium Risk (Zone 3/4)
642096,114525.3,0,48.08,Medium Risk (Zone 3/4)
603030,92688.5,0,48.08,Medium Risk (Zone 3/4)
617895,115456.4,0,48.08,Medium Risk (Zone 3/4)
610000,56797.125,0,48.08,Medium Risk (Zone 3/4)
611642,40270.2,0,48.08,Medium Risk (Zone 3/4)
615617,112756.21,0,48.08,Medium Risk (Zone 3/4)
603331,117039.27,0,48.07,Medium Risk (Zone 3/4)
611315,88516.57333333332,0,48.07,Medium Risk (Zone 3/4)
610805,32774.72,0,48.07,Medium Risk (Zone 3/4)
617335,120000.0,0,48.07,Medium Risk (Zone 3/4)
609630,107029.945,0,48.07,Medium Risk (Zone 3/4)
604399,26275.0,0,48.06,Medium Risk (Zone 3/4)
637312,121881.0,0,48.06,Medium Risk (Zone 3/4)
621020,125046.73,0,48.06,Medium Risk (Zone 3/4)
615772,39988.215,0,48.06,Medium Risk (Zone 3/4)
642348,124508.0,0,48.06,Medium Risk (Zone 3/4)
611118,122625.87,0,48.06,Medium Risk (Zone 3/4)
611287,83985.22,0,48.06,Medium Risk (Zone 3/4)
625962,122346.0,0,48.06,Medium Risk (Zone 3/4)
642203,129100.0,0,48.05,Medium Risk (Zone 3/4)
601424,36218.75,0,48.05,Medium Risk (Zone 3/4)
610094,52793.369999999995,0,48.05,Medium Risk (Zone 3/4)
642137,126815.82,0,48.05,Medium Risk (Zone 3/4)
604470,128678.0,0,48.05,Medium Risk (Zone 3/4)
605300,33340.0,0,48.05,Medium Risk (Zone 3/4)
613788,36871.56,0,48.05,Medium Risk (Zone 3/4)
