Date,Forecasted_Churn_%
2026-06-01,1.89
2026-07-01,1.87
2026-08-01,1.85
2026-09-01,1.83
2026-10-01,1.81
2026-11-01,1.79
2026-12-01,1.77
2027-01-01,1.41
2027-02-01,1.39
2027-03-01,1.37
2027-04-01,1.35
2027-05-01,1.33
